start_date_local,type,name,distance,moving_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate
2020-12-08T11:48:24Z,WeightTraining,Afternoon WeightTraining,0.0,929,0.0,0.0,0.0,111.8,151.0
2020-12-06T13:47:51Z,Walk,Afternoon Walk,8455.6,6487,124.0,1.303,4.0,107.5,129.0
2020-12-05T11:32:43Z,Ride,Afternoon Ride,79997.7,12243,487.0,6.534,13.4,144.8,192.0
2020-12-04T19:07:32Z,Walk,Evening Walk,4537.9,3250,35.0,1.396,6.0,82.6,107.0
2020-12-04T17:56:09Z,Walk,Evening Walk,1600.0,1802,29.0,0.888,1.9,82.4,113.0
2020-12-02T18:32:34Z,Ride,Evening Ride,30262.3,4990,183.0,6.065,14.5,89.7,135.0
2020-12-02T08:06:44Z,Ride,Morning Ride,5512.4,796,4.0,6.925,10.6,83.7,109.0
2020-12-01T17:39:26Z,Ride,Evening Ride,35526.1,7061,146.0,5.031,12.2,110.6,151.0
2020-11-30T20:24:14Z,Run,Evening Run,8015.4,2834,29.0,2.828,4.4,145.9,170.0
2020-11-27T16:37:15Z,Ride,Evening Ride,50518.7,7259,306.0,6.959,15.5,116.2,161.0
2020-11-25T19:33:40Z,Walk,Evening Walk,6598.8,4067,14.0,1.623,2.6,91.0,118.0
2020-11-24T19:26:37Z,Ride,Evening Ride,53393.7,8895,375.0,6.003,14.2,119.7,174.0
2020-11-21T18:58:18Z,Ride,Evening Ride,3215.4,708,61.0,4.542,8.2,136.9,169.0
2020-11-21T10:27:49Z,Ride,Morning Ride,127727.0,18685,830.0,6.836,15.3,141.3,181.0
2020-11-20T16:07:41Z,Ride,Evening Ride,21112.6,3944,155.0,5.353,9.9,125.8,165.0
2020-11-19T19:47:15Z,Run,Evening Run,12025.6,4172,40.0,2.882,4.7,166.9,180.0
2020-11-17T19:08:58Z,Ride,Evening Ride,27896.7,4143,222.0,6.733,14.5,156.2,189.0
2020-11-15T19:33:08Z,Walk,Evening Walk,6409.2,4653,36.0,1.377,2.3,101.8,130.0
2020-11-15T15:10:25Z,Ride,Evening Ride,66363.4,9832,431.0,6.75,15.4,125.6,168.0
2020-11-11T18:57:07Z,Ride,Evening Ride,51559.4,7952,225.0,6.484,14.6,123.6,164.0
2020-11-09T18:29:03Z,Run,Evening Run,12038.4,4012,71.0,3.001,5.0,167.6,187.0
2020-11-08T10:26:35Z,Ride,Morning Ride,110531.0,17947,427.0,6.159,15.7,134.1,187.0
2020-11-08T08:04:06Z,Workout,Morning Workout,0.0,342,0.0,0.0,0.0,59.2,68.0
2020-11-07T15:06:41Z,Walk,Evening Walk,2680.4,2613,32.0,1.026,2.2,92.0,124.0
2020-11-06T19:49:51Z,Ride,Evening Ride,22079.8,3032,136.0,7.282,14.0,130.5,184.0
2020-11-06T17:26:49Z,Workout,Evening Workout,2396.4,211,17.0,11.357,17.7,66.2,75.0
